日期,时间,分区,使用量,year,month,Time,Used,All,使用率
2022-11-25,18:00:51,SH40/IRDC_Share,377/384,2022,11,18,377,384,98.18
2022-11-25,22:00:42,SG2/IRDCSG,320/320,2022,11,22,320,320,100.0
2022-11-25,22:00:42,ABUD/vi_irdc,896/1024,2022,11,22,896,1024,87.5
2022-11-25,22:00:42,SH40/IRDC_Share,378/384,2022,11,22,378,384,98.44
2022-11-26,10:00:43,SG2/IRDCSG,320/320,2022,11,10,320,320,100.0
2022-11-26,10:00:43,ABUD/vi_irdc,832/1024,2022,11,10,832,1024,81.25
2022-11-26,10:00:43,SH40/IRDC_Share,274/384,2022,11,10,274,384,71.35
2022-11-26,14:00:49,SG2/IRDCSG,320/320,2022,11,14,320,320,100.0
2022-11-26,14:00:49,ABUD/vi_irdc,768/1024,2022,11,14,768,1024,75.0
2022-11-26,14:00:49,SH40/IRDC_Share,258/384,2022,11,14,258,384,67.19
2022-11-26,22:00:40,SG2/IRDCSG,320/320,2022,11,22,320,320,100.0
2022-11-26,22:00:40,ABUD/vi_irdc,704/1024,2022,11,22,704,1024,68.75
2022-11-26,22:00:40,SH40/IRDC_Share,226/384,2022,11,22,226,384,58.85
2022-11-27,14:00:32,SG2/IRDCSG,320/320,2022,11,14,320,320,100.0
2022-11-27,14:00:32,ABUD/vi_irdc,640/1024,2022,11,14,640,1024,62.5
2022-11-27,14:00:32,SH40/IRDC_Share,242/384,2022,11,14,242,384,63.02
2022-11-27,18:00:33,SG2/IRDCSG,320/320,2022,11,18,320,320,100.0
2022-11-27,18:00:33,ABUD/vi_irdc,640/1024,2022,11,18,640,1024,62.5
2022-11-27,18:00:33,SH40/IRDC_Share,242/384,2022,11,18,242,384,63.02
2022-11-27,22:00:34,SG2/IRDCSG,320/320,2022,11,22,320,320,100.0
2022-11-27,22:00:34,ABUD/vi_irdc,640/1024,2022,11,22,640,1024,62.5
2022-11-27,22:00:34,SH40/IRDC_Share,226/384,2022,11,22,226,384,58.85
2022-11-28,10:00:35,SG2/IRDCSG,320/320,2022,11,10,320,320,100.0
2022-11-28,10:00:35,ABUD/vi_irdc,640/1024,2022,11,10,640,1024,62.5
2022-11-28,10:00:35,SH40/IRDC_Share,194/384,2022,11,10,194,384,50.52
2022-11-28,14:00:36,SG2/IRDCSG,320/320,2022,11,14,320,320,100.0
2022-11-28,14:00:36,ABUD/vi_irdc,768/1024,2022,11,14,768,1024,75.0
2022-11-28,14:00:36,SH40/IRDC_Share,288/384,2022,11,14,288,384,75.0
2022-11-28,18:00:33,SG2/IRDCSG,320/320,2022,11,18,320,320,100.0
2022-11-28,18:00:33,ABUD/vi_irdc,768/1024,2022,11,18,768,1024,75.0
2022-11-28,18:00:33,SH40/IRDC_Share,277/384,2022,11,18,277,384,72.14
2022-11-28,22:00:36,SG2/IRDCSG,320/320,2022,11,22,320,320,100.0
2022-11-28,22:00:36,ABUD/vi_irdc,640/1024,2022,11,22,640,1024,62.5
2022-11-28,22:00:36,SH40/IRDC_Share,198/384,2022,11,22,198,384,51.56
2022-11-29,10:00:35,SG2/IRDCSG,320/320,2022,11,10,320,320,100.0
2022-11-29,10:00:35,ABUD/vi_irdc,640/1024,2022,11,10,640,1024,62.5
2022-11-29,10:00:35,SH40/IRDC_Share,125/384,2022,11,10,125,384,32.55
2022-11-29,14:00:35,SG2/IRDCSG,320/320,2022,11,14,320,320,100.0
2022-11-29,14:00:35,ABUD/vi_irdc,896/1024,2022,11,14,896,1024,87.5
2022-11-29,14:00:35,SH40/IRDC_Share,102/384,2022,11,14,102,384,26.56
2022-11-29,18:00:36,SG2/IRDCSG,320/320,2022,11,18,320,320,100.0
2022-11-29,18:00:36,ABUD/vi_irdc,1024/1024,2022,11,18,1024,1024,100.0
2022-11-29,18:00:36,SH40/IRDC_Share,343/384,2022,11,18,343,384,89.32
2022-11-29,22:00:36,SG2/IRDCSG,256/320,2022,11,22,256,320,80.0
2022-11-29,22:00:36,ABUD/vi_irdc,960/1024,2022,11,22,960,1024,93.75
2022-11-29,22:00:36,SH40/IRDC_Share,336/384,2022,11,22,336,384,87.5
2022-11-30,10:00:34,SG2/IRDCSG,256/320,2022,11,10,256,320,80.0
2022-11-30,10:00:34,ABUD/vi_irdc,896/1024,2022,11,10,896,1024,87.5
2022-11-30,10:00:34,SH40/IRDC_Share,235/384,2022,11,10,235,384,61.2
2022-11-30,14:00:35,SG2/IRDCSG,256/320,2022,11,14,256,320,80.0
2022-11-30,14:00:35,ABUD/vi_irdc,960/1024,2022,11,14,960,1024,93.75
2022-11-30,14:00:35,SH40/IRDC_Share,259/384,2022,11,14,259,384,67.45
2022-11-30,18:00:34,SG2/IRDCSG,256/320,2022,11,18,256,320,80.0
2022-11-30,18:00:34,ABUD/vi_irdc,1024/1024,2022,11,18,1024,1024,100.0
2022-11-30,18:00:34,SH40/IRDC_Share,265/384,2022,11,18,265,384,69.01
2022-11-30,22:00:34,SG2/IRDCSG,320/320,2022,11,22,320,320,100.0
2022-11-30,22:00:34,ABUD/vi_irdc,1024/1024,2022,11,22,1024,1024,100.0
2022-11-30,22:00:34,SH40/IRDC_Share,249/384,2022,11,22,249,384,64.84
2022-12-01,10:00:35,SG2/IRDCSG,320/320,2022,12,10,320,320,100.0
2022-12-01,10:00:35,ABUD/vi_irdc,1024/1024,2022,12,10,1024,1024,100.0
2022-12-01,10:00:35,SH40/IRDC_Share,204/384,2022,12,10,204,384,53.12
2022-12-01,14:00:35,SG2/IRDCSG,256/320,2022,12,14,256,320,80.0
2022-12-01,14:00:35,ABUD/vi_irdc,1024/1024,2022,12,14,1024,1024,100.0
2022-12-01,14:00:35,SH40/IRDC_Share,376/384,2022,12,14,376,384,97.92
2022-12-01,18:00:34,SG2/IRDCSG,320/320,2022,12,18,320,320,100.0
2022-12-01,18:00:34,ABUD/vi_irdc,1024/1024,2022,12,18,1024,1024,100.0
2022-12-01,18:00:34,SH40/IRDC_Share,376/384,2022,12,18,376,384,97.92
2022-12-01,22:00:36,SG2/IRDCSG,320/320,2022,12,22,320,320,100.0
2022-12-01,22:00:36,ABUD/vi_irdc,1024/1024,2022,12,22,1024,1024,100.0
2022-12-01,22:00:36,SH40/IRDC_Share,371/384,2022,12,22,371,384,96.61
2022-12-02,10:00:36,SG2/IRDCSG,128/320,2022,12,10,128,320,40.0
2022-12-02,10:00:36,ABUD/vi_irdc,1024/1024,2022,12,10,1024,1024,100.0
2022-12-02,10:00:36,SH40/IRDC_Share,283/384,2022,12,10,283,384,73.7
2022-12-02,14:00:34,SG2/IRDCSG,128/320,2022,12,14,128,320,40.0
2022-12-02,14:00:34,ABUD/vi_irdc,1024/1024,2022,12,14,1024,1024,100.0
2022-12-02,14:00:34,SH40/IRDC_Share,354/384,2022,12,14,354,384,92.19
2022-12-02,18:00:35,SG2/IRDCSG,128/320,2022,12,18,128,320,40.0
2022-12-02,18:00:35,ABUD/vi_irdc,1024/1024,2022,12,18,1024,1024,100.0
2022-12-02,18:00:35,SH40/IRDC_Share,346/384,2022,12,18,346,384,90.1
2022-12-02,22:00:34,SG2/IRDCSG,128/320,2022,12,22,128,320,40.0
2022-12-02,22:00:34,ABUD/vi_irdc,1024/1024,2022,12,22,1024,1024,100.0
2022-12-02,22:00:34,SH40/IRDC_Share,314/384,2022,12,22,314,384,81.77
2022-12-03,10:00:35,SG2/IRDCSG,128/320,2022,12,10,128,320,40.0
2022-12-03,10:00:35,ABUD/vi_irdc,1024/1024,2022,12,10,1024,1024,100.0
2022-12-03,10:00:35,SH40/IRDC_Share,234/384,2022,12,10,234,384,60.94
2022-12-03,14:00:36,SG2/IRDCSG,64/320,2022,12,14,64,320,20.0
2022-12-03,14:00:36,ABUD/vi_irdc,1024/1024,2022,12,14,1024,1024,100.0
2022-12-03,14:00:36,SH40/IRDC_Share,298/384,2022,12,14,298,384,77.6
2022-12-03,18:00:40,SG2/IRDCSG,64/320,2022,12,18,64,320,20.0
2022-12-03,18:00:40,ABUD/vi_irdc,1024/1024,2022,12,18,1024,1024,100.0
2022-12-03,18:00:40,SH40/IRDC_Share,222/384,2022,12,18,222,384,57.81
2022-12-03,22:02:13,SG2/IRDCSG,64/320,2022,12,22,64,320,20.0
2022-12-03,22:02:13,ABUD/vi_irdc,1024/1024,2022,12,22,1024,1024,100.0
2022-12-03,22:02:13,SH40/IRDC_Share,218/384,2022,12,22,218,384,56.77
2022-12-04,10:00:34,SG2/IRDCSG,64/320,2022,12,10,64,320,20.0
2022-12-04,10:00:34,ABUD/vi_irdc,960/1024,2022,12,10,960,1024,93.75
2022-12-04,10:00:34,SH40/IRDC_Share,322/384,2022,12,10,322,384,83.85
2022-12-04,14:00:33,SG2/IRDCSG,64/320,2022,12,14,64,320,20.0
2022-12-04,14:00:33,ABUD/vi_irdc,960/1024,2022,12,14,960,1024,93.75
2022-12-04,14:00:33,SH40/IRDC_Share,322/384,2022,12,14,322,384,83.85
2022-12-04,22:00:35,SG2/IRDCSG,64/320,2022,12,22,64,320,20.0
2022-12-04,22:00:35,ABUD/vi_irdc,832/1024,2022,12,22,832,1024,81.25
2022-12-04,22:00:35,SH40/IRDC_Share,370/384,2022,12,22,370,384,96.35
2022-12-05,14:00:34,SG2/IRDCSG,320/320,2022,12,14,320,320,100.0
2022-12-05,14:00:34,ABUD/vi_irdc,1024/1024,2022,12,14,1024,1024,100.0
2022-12-05,14:00:34,SH40/IRDC_Share,368/384,2022,12,14,368,384,95.83
2022-12-05,18:00:34,SG2/IRDCSG,192/320,2022,12,18,192,320,60.0
2022-12-05,18:00:34,ABUD/vi_irdc,1024/1024,2022,12,18,1024,1024,100.0
2022-12-05,18:00:34,SH40/IRDC_Share,380/384,2022,12,18,380,384,98.96
2022-12-05,22:00:34,SG2/IRDCSG,192/320,2022,12,22,192,320,60.0
2022-12-05,22:00:34,ABUD/vi_irdc,1024/1024,2022,12,22,1024,1024,100.0
2022-12-05,22:00:34,SH40/IRDC_Share,370/384,2022,12,22,370,384,96.35
2022-12-06,10:00:34,SG2/IRDCSG,192/320,2022,12,10,192,320,60.0
2022-12-06,10:00:34,ABUD/vi_irdc,832/1024,2022,12,10,832,1024,81.25
2022-12-06,10:00:34,SH40/IRDC_Share,170/384,2022,12,10,170,384,44.27
2022-12-06,14:00:35,SG2/IRDCSG,192/320,2022,12,14,192,320,60.0
2022-12-06,14:00:35,ABUD/vi_irdc,896/1024,2022,12,14,896,1024,87.5
2022-12-06,14:00:35,SH40/IRDC_Share,378/384,2022,12,14,378,384,98.44
2022-12-06,18:00:36,SG2/IRDCSG,192/320,2022,12,18,192,320,60.0
2022-12-06,18:00:36,ABUD/vi_irdc,960/1024,2022,12,18,960,1024,93.75
2022-12-06,18:00:36,SH40/IRDC_Share,376/384,2022,12,18,376,384,97.92
2022-12-06,22:00:34,SG2/IRDCSG,192/320,2022,12,22,192,320,60.0
2022-12-06,22:00:34,ABUD/vi_irdc,960/1024,2022,12,22,960,1024,93.75
2022-12-06,22:00:34,SH40/IRDC_Share,376/384,2022,12,22,376,384,97.92
2022-12-07,10:00:34,SG2/IRDCSG,192/320,2022,12,10,192,320,60.0
2022-12-07,10:00:34,ABUD/vi_irdc,1024/1024,2022,12,10,1024,1024,100.0
2022-12-07,10:00:34,SH40/IRDC_Share,379/384,2022,12,10,379,384,98.7
2022-12-07,14:00:33,SG2/IRDCSG,320/320,2022,12,14,320,320,100.0
2022-12-07,14:00:33,ABUD/vi_irdc,1024/1024,2022,12,14,1024,1024,100.0
2022-12-07,14:00:33,SH40/IRDC_Share,384/384,2022,12,14,384,384,100.0
2022-12-07,18:00:33,SG2/IRDCSG,192/320,2022,12,18,192,320,60.0
2022-12-07,18:00:33,ABUD/vi_irdc,1024/1024,2022,12,18,1024,1024,100.0
2022-12-07,18:00:33,SH40/IRDC_Share,378/384,2022,12,18,378,384,98.44
2022-12-07,22:00:34,SG2/IRDCSG,64/320,2022,12,22,64,320,20.0
2022-12-07,22:00:34,ABUD/vi_irdc,960/1024,2022,12,22,960,1024,93.75
2022-12-07,22:00:34,SH40/IRDC_Share,375/384,2022,12,22,375,384,97.66
2022-12-08,10:00:35,SG2/IRDCSG,64/320,2022,12,10,64,320,20.0
2022-12-08,10:00:35,ABUD/vi_irdc,960/1024,2022,12,10,960,1024,93.75
2022-12-08,10:00:35,SH40/IRDC_Share,350/384,2022,12,10,350,384,91.15
2022-12-08,14:00:33,SG2/IRDCSG,256/320,2022,12,14,256,320,80.0
2022-12-08,14:00:33,ABUD/vi_irdc,1024/1024,2022,12,14,1024,1024,100.0
2022-12-08,14:00:33,SH40/IRDC_Share,380/384,2022,12,14,380,384,98.96
2022-12-08,18:00:34,SG2/IRDCSG,192/320,2022,12,18,192,320,60.0
2022-12-08,18:00:34,ABUD/vi_irdc,1024/1024,2022,12,18,1024,1024,100.0
2022-12-08,18:00:34,SH40/IRDC_Share,378/384,2022,12,18,378,384,98.44
2022-12-08,22:00:37,SG2/IRDCSG,256/320,2022,12,22,256,320,80.0
2022-12-08,22:00:37,ABUD/vi_irdc,1024/1024,2022,12,22,1024,1024,100.0
2022-12-08,22:00:37,SH40/IRDC_Share,382/384,2022,12,22,382,384,99.48
2022-12-09,10:00:40,SG2/IRDCSG,128/320,2022,12,10,128,320,40.0
2022-12-09,10:00:40,ABUD/vi_irdc,832/1024,2022,12,10,832,1024,81.25
2022-12-09,10:00:40,SH40/IRDC_Share,365/384,2022,12,10,365,384,95.05
2022-12-09,14:00:37,SG2/IRDCSG,192/320,2022,12,14,192,320,60.0
2022-12-09,14:00:37,ABUD/vi_irdc,640/1024,2022,12,14,640,1024,62.5
2022-12-09,14:00:37,SH40/IRDC_Share,365/384,2022,12,14,365,384,95.05
2022-12-09,18:00:34,SG2/IRDCSG,320/320,2022,12,18,320,320,100.0
2022-12-09,18:00:34,ABUD/vi_irdc,640/1024,2022,12,18,640,1024,62.5
2022-12-09,18:00:34,SH40/IRDC_Share,357/384,2022,12,18,357,384,92.97
2022-12-09,22:00:41,SG2/IRDCSG,256/320,2022,12,22,256,320,80.0
2022-12-09,22:00:41,ABUD/vi_irdc,640/1024,2022,12,22,640,1024,62.5
2022-12-09,22:00:41,SH40/IRDC_Share,309/384,2022,12,22,309,384,80.47
2022-12-10,10:00:19,SG2/IRDCSG,128/320,2022,12,10,128,320,40.0
2022-12-10,10:00:19,ABUD/vi_irdc,384/1024,2022,12,10,384,1024,37.5
2022-12-10,10:00:19,SH40/IRDC_Share,293/384,2022,12,10,293,384,76.3
2022-12-10,14:00:19,SG2/IRDCSG,128/320,2022,12,14,128,320,40.0
2022-12-10,14:00:19,ABUD/vi_irdc,384/1024,2022,12,14,384,1024,37.5
2022-12-10,14:00:19,SH40/IRDC_Share,252/384,2022,12,14,252,384,65.62
2022-12-10,18:00:18,SG2/IRDCSG,128/320,2022,12,18,128,320,40.0
2022-12-10,18:00:18,ABUD/vi_irdc,256/1024,2022,12,18,256,1024,25.0
2022-12-10,18:00:18,SH40/IRDC_Share,252/384,2022,12,18,252,384,65.62
2022-12-10,22:00:23,SG2/IRDCSG,320/320,2022,12,22,320,320,100.0
2022-12-10,22:00:23,ABUD/vi_irdc,256/1024,2022,12,22,256,1024,25.0
2022-12-10,22:00:23,SH40/IRDC_Share,252/384,2022,12,22,252,384,65.62
2022-12-11,14:00:18,SG2/IRDCSG,192/320,2022,12,14,192,320,60.0
2022-12-11,14:00:18,ABUD/vi_irdc,256/1024,2022,12,14,256,1024,25.0
2022-12-11,14:00:18,SH40/IRDC_Share,220/384,2022,12,14,220,384,57.29
2022-12-11,18:00:22,SG2/IRDCSG,320/320,2022,12,18,320,320,100.0
2022-12-11,18:00:22,ABUD/vi_irdc,256/1024,2022,12,18,256,1024,25.0
2022-12-11,18:00:22,SH40/IRDC_Share,220/384,2022,12,18,220,384,57.29
2022-12-11,22:00:19,SG2/IRDCSG,256/320,2022,12,22,256,320,80.0
2022-12-11,22:00:19,ABUD/vi_irdc,256/1024,2022,12,22,256,1024,25.0
2022-12-11,22:00:19,SH40/IRDC_Share,220/384,2022,12,22,220,384,57.29
2022-12-12,14:00:24,SG2/IRDCSG,320/320,2022,12,14,320,320,100.0
2022-12-12,14:00:24,ABUD/vi_irdc,128/1024,2022,12,14,128,1024,12.5
2022-12-12,14:00:24,SH40/IRDC_Share,179/384,2022,12,14,179,384,46.61
2022-12-12,18:00:20,SG2/IRDCSG,320/320,2022,12,18,320,320,100.0
2022-12-12,18:00:20,ABUD/vi_irdc,256/1024,2022,12,18,256,1024,25.0
2022-12-12,18:00:20,SH40/IRDC_Share,212/384,2022,12,18,212,384,55.21
2022-12-12,22:00:24,SG2/IRDCSG,320/320,2022,12,22,320,320,100.0
2022-12-12,22:00:24,ABUD/vi_irdc,320/1024,2022,12,22,320,1024,31.25
2022-12-12,22:00:24,SH40/IRDC_Share,211/384,2022,12,22,211,384,54.95
2022-12-13,10:00:24,SG2/IRDCSG,320/320,2022,12,10,320,320,100.0
2022-12-13,10:00:24,ABUD/vi_irdc,256/1024,2022,12,10,256,1024,25.0
2022-12-13,10:00:24,SH40/IRDC_Share,203/384,2022,12,10,203,384,52.86
2022-12-13,14:00:23,SG2/IRDCSG,320/320,2022,12,14,320,320,100.0
2022-12-13,14:00:23,ABUD/vi_irdc,128/1024,2022,12,14,128,1024,12.5
2022-12-13,14:00:23,SH40/IRDC_Share,177/384,2022,12,14,177,384,46.09
2022-12-13,18:00:28,SG2/IRDCSG,320/320,2022,12,18,320,320,100.0
2022-12-13,18:00:28,ABUD/vi_irdc,512/1024,2022,12,18,512,1024,50.0
2022-12-13,18:00:28,SH40/IRDC_Share,210/384,2022,12,18,210,384,54.69
2022-12-13,22:00:22,SG2/IRDCSG,320/320,2022,12,22,320,320,100.0
2022-12-13,22:00:22,ABUD/vi_irdc,512/1024,2022,12,22,512,1024,50.0
2022-12-13,22:00:22,SH40/IRDC_Share,204/384,2022,12,22,204,384,53.12
2022-12-14,10:00:28,SG2/IRDCSG,256/320,2022,12,10,256,320,80.0
2022-12-14,10:00:28,ABUD/vi_irdc,512/1024,2022,12,10,512,1024,50.0
2022-12-14,10:00:28,SH40/IRDC_Share,204/384,2022,12,10,204,384,53.12
2022-12-14,14:00:25,SG2/IRDCSG,320/320,2022,12,14,320,320,100.0
2022-12-14,14:00:25,ABUD/vi_irdc,768/1024,2022,12,14,768,1024,75.0
2022-12-14,14:00:25,SH40/IRDC_Share,204/384,2022,12,14,204,384,53.12
2022-12-14,18:00:26,SG2/IRDCSG,320/320,2022,12,18,320,320,100.0
2022-12-14,18:00:26,ABUD/vi_irdc,640/1024,2022,12,18,640,1024,62.5
2022-12-14,18:00:26,SH40/IRDC_Share,198/384,2022,12,18,198,384,51.56
2022-12-14,22:00:26,SG2/IRDCSG,256/320,2022,12,22,256,320,80.0
2022-12-14,22:00:26,ABUD/vi_irdc,320/1024,2022,12,22,320,1024,31.25
2022-12-14,22:00:26,SH40/IRDC_Share,248/384,2022,12,22,248,384,64.58
2022-12-15,10:00:22,SG2/IRDCSG,256/320,2022,12,10,256,320,80.0
2022-12-15,10:00:22,ABUD/vi_irdc,192/1024,2022,12,10,192,1024,18.75
2022-12-15,10:00:22,SH40/IRDC_Share,255/384,2022,12,10,255,384,66.41
2022-12-15,14:00:25,SG2/IRDCSG,320/320,2022,12,14,320,320,100.0
2022-12-15,14:00:25,ABUD/vi_irdc,320/1024,2022,12,14,320,1024,31.25
2022-12-15,14:00:25,SH40/IRDC_Share,239/384,2022,12,14,239,384,62.24
2022-12-15,18:00:24,SG2/IRDCSG,256/320,2022,12,18,256,320,80.0
2022-12-15,18:00:24,ABUD/vi_irdc,256/1024,2022,12,18,256,1024,25.0
2022-12-15,18:00:24,SH40/IRDC_Share,251/384,2022,12,18,251,384,65.36
2022-12-15,22:00:22,SG2/IRDCSG,256/320,2022,12,22,256,320,80.0
2022-12-15,22:00:22,ABUD/vi_irdc,256/1024,2022,12,22,256,1024,25.0
2022-12-15,22:00:22,SH40/IRDC_Share,295/384,2022,12,22,295,384,76.82
2022-12-16,10:00:22,SG2/IRDCSG,64/320,2022,12,10,64,320,20.0
2022-12-16,10:00:22,ABUD/vi_irdc,64/1024,2022,12,10,64,1024,6.25
2022-12-16,10:00:22,SH40/IRDC_Share,207/384,2022,12,10,207,384,53.91
2022-12-16,14:00:20,SG2/IRDCSG,256/320,2022,12,14,256,320,80.0
2022-12-16,14:00:20,ABUD/vi_irdc,384/1024,2022,12,14,384,1024,37.5
2022-12-16,14:00:20,SH40/IRDC_Share,221/384,2022,12,14,221,384,57.55
2022-12-16,18:00:20,SG2/IRDCSG,256/320,2022,12,18,256,320,80.0
2022-12-16,18:00:20,ABUD/vi_irdc,704/1024,2022,12,18,704,1024,68.75
2022-12-16,18:00:20,SH40/IRDC_Share,365/384,2022,12,18,365,384,95.05
2022-12-16,22:00:18,SG2/IRDCSG,192/320,2022,12,22,192,320,60.0
2022-12-16,22:00:18,ABUD/vi_irdc,704/1024,2022,12,22,704,1024,68.75
2022-12-16,22:00:18,SH40/IRDC_Share,349/384,2022,12,22,349,384,90.89
2022-12-17,10:51:09,SG2/IRDCSG,192/320,2022,12,10,192,320,60.0
2022-12-17,10:51:09,ABUD/vi_irdc,576/1024,2022,12,10,576,1024,56.25
2022-12-17,10:51:09,SH40/IRDC_Share,221/384,2022,12,10,221,384,57.55
2022-12-17,14:00:22,SG2/IRDCSG,192/320,2022,12,14,192,320,60.0
2022-12-17,14:00:22,ABUD/vi_irdc,640/1024,2022,12,14,640,1024,62.5
2022-12-17,14:00:22,SH40/IRDC_Share,205/384,2022,12,14,205,384,53.39
2022-12-17,18:00:17,SG2/IRDCSG,192/320,2022,12,18,192,320,60.0
2022-12-17,18:00:17,ABUD/vi_irdc,832/1024,2022,12,18,832,1024,81.25
2022-12-17,18:00:17,SH40/IRDC_Share,205/384,2022,12,18,205,384,53.39
2022-12-17,22:00:18,SG2/IRDCSG,192/320,2022,12,22,192,320,60.0
2022-12-17,22:00:18,ABUD/vi_irdc,832/1024,2022,12,22,832,1024,81.25
2022-12-17,22:00:18,SH40/IRDC_Share,205/384,2022,12,22,205,384,53.39
2022-12-20,10:00:24,SG2/IRDCSG,192/320,2022,12,10,192,320,60.0
2022-12-20,10:00:24,ABUD/vi_irdc,704/1024,2022,12,10,704,1024,68.75
2022-12-20,10:00:24,SH40/IRDC_Share,291/384,2022,12,10,291,384,75.78
2022-12-20,14:00:23,SG2/IRDCSG,192/320,2022,12,14,192,320,60.0
2022-12-20,14:00:23,ABUD/vi_irdc,768/1024,2022,12,14,768,1024,75.0
2022-12-20,14:00:23,SH40/IRDC_Share,185/384,2022,12,14,185,384,48.18
2022-12-20,18:00:23,SG2/IRDCSG,320/320,2022,12,18,320,320,100.0
2022-12-20,18:00:23,ABUD/vi_irdc,768/1024,2022,12,18,768,1024,75.0
2022-12-20,18:00:23,SH40/IRDC_Share,309/384,2022,12,18,309,384,80.47
2022-12-20,22:00:22,SG2/IRDCSG,320/320,2022,12,22,320,320,100.0
2022-12-20,22:00:22,ABUD/vi_irdc,768/1024,2022,12,22,768,1024,75.0
2022-12-20,22:00:22,SH40/IRDC_Share,307/384,2022,12,22,307,384,79.95
2022-12-21,14:00:23,SG2/IRDCSG,320/320,2022,12,14,320,320,100.0
2022-12-21,14:00:23,ABUD/vi_irdc,896/1024,2022,12,14,896,1024,87.5
2022-12-21,14:00:23,SH40/IRDC_Share,243/384,2022,12,14,243,384,63.28
2022-12-21,18:00:27,SG2/IRDCSG,320/320,2022,12,18,320,320,100.0
2022-12-21,18:00:27,ABUD/vi_irdc,512/1024,2022,12,18,512,1024,50.0
2022-12-21,18:00:27,SH40/IRDC_Share,307/384,2022,12,18,307,384,79.95
2022-12-21,22:00:23,SG2/IRDCSG,320/320,2022,12,22,320,320,100.0
2022-12-21,22:00:23,ABUD/vi_irdc,704/1024,2022,12,22,704,1024,68.75
2022-12-21,22:00:23,SH40/IRDC_Share,275/384,2022,12,22,275,384,71.61
2022-12-22,14:00:26,SG2/IRDCSG,256/320,2022,12,14,256,320,80.0
2022-12-22,14:00:26,ABUD/vi_irdc,640/1024,2022,12,14,640,1024,62.5
2022-12-22,14:00:26,SH40/IRDC_Share,187/384,2022,12,14,187,384,48.7
2022-12-22,18:00:19,SG2/IRDCSG,256/320,2022,12,18,256,320,80.0
2022-12-22,18:00:19,ABUD/vi_irdc,768/1024,2022,12,18,768,1024,75.0
2022-12-22,18:00:19,SH40/IRDC_Share,217/384,2022,12,18,217,384,56.51
2022-12-22,22:00:22,SG2/IRDCSG,256/320,2022,12,22,256,320,80.0
2022-12-22,22:00:22,ABUD/vi_irdc,704/1024,2022,12,22,704,1024,68.75
2022-12-22,22:00:22,SH40/IRDC_Share,213/384,2022,12,22,213,384,55.47
2022-12-23,14:00:21,SG2/IRDCSG,256/320,2022,12,14,256,320,80.0
2022-12-23,14:00:21,ABUD/vi_irdc,640/1024,2022,12,14,640,1024,62.5
